oc_name,team_currently,concept_1,concept_2,concept_3,concept_4,concept_5,one_liner_identity
Ben Johnson,DET (2022-2024),Pre-snap motion at NFL-leading rate,Condensed wide-receiver alignments,Outside-zone run scheme,Play-action shot plays off Henry-style heavy sets,Aggressive 4th-down decision-making,Modern WCO with aggressive intermediate passing and Henry-style run game disguise
Sean McVay,LA Rams,11-personnel base (97%+),Outside zone with cutback creases,Play-action bootleg deep crossers,Pre-snap motion to declare coverage,Quick-game timing patterns,The textbook Shanahan-tree WCO refined with extreme 11-personnel commitment
Kyle Shanahan,SF 49ers,Wide-zone run game,Play-action deep crossers (signature),Drag/cross combos out of bunch,Heavy use of TE/FB in the H-back role,Mid-zone counters off run action,Original modern WCO architect — outside zone + play-action vertical attack
Matt LaFleur,GB Packers,,,,,,
Andy Reid,KC Chiefs,Mesh and Drive concepts (RPO underneath),Tyreek-/Rice-style speed sweeps and jet motion,Empty-formation passing concepts,Goal-line creativity (motion and trickery),Two-minute drill mastery,Hybrid spread/WCO with college concepts grafted on Reid's pro foundations
Bobby Slowik,HOU Texans,,,,,,
Liam Coen,TB Buccaneers (HC?),,,,,,
Brian Daboll,NYG (HC),,,,,,
Josh McDaniels,(free agent / future hire),,,,,,
Sean Payton,DEN Broncos,,,,,,
Greg Roman,(retired/FA),Designed-QB-run heavy,Pin-and-pull blocking,Heavy 12/13 personnel,Lamar-style read option,Vertical play-action shots,Power-run-first scheme built around mobile QB; vertical when forced to throw
Mike McDaniel,MIA Dolphins,,,,,,
Brian Schottenheimer,DAL Cowboys,,,,,,
Drew Petzing,ARI Cardinals,,,,,,
Joe Brady,BUF Bills,,,,,,
Kellen Moore,PHI Eagles,,,,,,
